estado,nombre,periodo,partido
Tabasco,Javier May Rodríguez,Desde el 1 de octubre de 2024,Movimiento de Regeneración Nacional
Tamaulipas,Manuel Cavazos Lerma,5 de febrero de 1993 - 4 de febrero de 1999,Partido Revolucionario Institucional
Tamaulipas,Tomás Yarrington,4 de febrero de 1999 - 31 de diciembre de 2004,Partido Revolucionario Institucional
Tamaulipas,Eugenio Hernández Flores,1 de enero de 2005 - 31 de diciembre de 2010,Partido Revolucionario Institucional
Tamaulipas,Egidio Torre Cantú,1 de enero de 2011 - 30 de septiembre de 2016,Partido Revolucionario Institucional
Tamaulipas,Francisco García Cabeza de Vaca,1 de octubre de 2016 - 30 de septiembre de 2022,Partido Acción Nacional
Tamaulipas,Américo Villarreal Anaya,Desde el 1 de octubre de 2022,Movimiento Regeneración Nacional
Tlaxcala,Samuel Quiroz de la Vega,11 de abril de 1992 - 14 de enero de 1993,Partido Revolucionario Institucional
Tlaxcala,José Antonio Álvarez Lima,15 de enero de 1993 - 14 de enero de 1999,Partido Revolucionario Institucional
Tlaxcala,Alfonso A. Sánchez Anaya,15 de enero de 1999 - 14 de enero de 2005,Partido de la Revolución Democrática
Tlaxcala,Héctor Ortiz Ortiz,15 de enero de 2005 - 14 de enero de 2011,Partido Acción Nacional
Tlaxcala,Mariano González Zarur,15 de enero de 2011 - 31 de diciembre de 2016,Partido Revolucionario Institucional
Tlaxcala,Marco Antonio Mena Rodríguez,1 de enero de 2017 - 30 de agosto de 2021,Partido Revolucionario Institucional
Tlaxcala,Lorena Cuéllar Cisneros,Desde el 31 de agosto de 2021,Movimiento de Regeneración Nacional
Veracruz,Patricio Chirinos Calero (1937),1 de diciembre de 1992 - 30 de noviembre de 1998,Partido Revolucionario Institucional
Veracruz,Miguel Alemán Velasco (1932),1 de diciembre de 1998 - 30 de noviembre de 2004,Partido Revolucionario Institucional
Veracruz,Fidel Herrera Beltrán (1949-2025),1 de diciembre de 2004 - 30 de noviembre de 2010,Partido Revolucionario Institucional
Veracruz,Javier Duarte de Ochoa (1973),1 de diciembre de 2010 - 12 de octubre de 2016,Partido Revolucionario Institucional
Veracruz,Flavino Ríos Alvarado (1950),12 de octubre de 2016 - 30 de noviembre de 2016,Partido Revolucionario Institucional
Veracruz,Miguel Ángel Yunes Linares (1952),1 de diciembre de 2016 - 30 de noviembre de 2018,Partido Acción Nacional
Veracruz,Cuitláhuac García Jiménez (1968),1 de diciembre de 2018 - 30 de noviembre de 2024,Movimiento de Regeneración Nacional
Veracruz,Norma Rocío Nahle García (1964),Desde el 1 de diciembre de 2024,Movimiento de Regeneración Nacional
Yucatán,Dulce María Sauri Riancho,14 de febrero de 1991 - 1 de diciembre de 1993,Partido Revolucionario Institucional
Yucatán,Ricardo Ávila Heredia,1 de diciembre de 1993 - 1 de febrero de 1994,Partido Revolucionario Institucional
Yucatán,Federico Granja Ricalde,1 de febrero de 1994 - 31 de julio de 1995,Partido Revolucionario Institucional
Yucatán,Víctor Cervera Pacheco,1 de agosto de 1995 - 31 de julio de 2001,Partido Revolucionario Institucional
Yucatán,Patricio Patrón Laviada,1 de agosto de 2001 - 31 de julio de 2007,Partido Acción Nacional
Yucatán,Ivonne Ortega Pacheco,1 de agosto de 2007 - 30 de septiembre de 2012,Partido Revolucionario Institucional
Yucatán,Rolando Zapata Bello,1 de octubre de 2012 - 30 de septiembre de 2018,Partido Revolucionario Institucional
Yucatán,Mauricio Vila Dosal,1 de octubre de 2018 - 7 de mayo de 2024,Partido Acción Nacional
